City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,haiphong,20.8561,106.6822,301.1,78,0,1.54,VN,1691536632
83,sola,-13.8833,167.55,297.71,84,100,10.29,VU,1691536633
84,sisimiut,66.9395,-53.6735,280.93,65,9,2.43,GL,1691536322
85,vorgashor,67.5833,63.95,282.09,73,100,3.42,RU,1691536299
86,chonchi,-42.6128,-73.8092,283.22,98,100,2.22,CL,1691536351
87,talnakh,69.4865,88.3972,290.72,62,95,0.6,RU,1691536287
88,san patricio,28.017,-97.5169,309.55,52,0,8.57,US,1691536300
89,buka,40.8108,69.1986,296.62,35,1,2.22,UZ,1691536634
90,shingu,33.7333,135.9833,300.01,94,79,4.3,JP,1691536634
91,soe,-9.8607,124.284,290.59,79,34,2.25,ID,1691536548
92,kingston,17.997,-76.7936,302.71,86,60,0.89,JM,1691536182
93,anadyr,64.75,177.4833,283.71,81,75,8.0,RU,1691536361
94,taltal,-25.4,-70.4833,290.24,73,72,1.97,CL,1691536390
95,bamboo flat,11.7,92.7167,300.76,84,100,7.48,IN,1691536347
96,biltine,14.5333,20.9167,297.55,80,89,2.28,TD,1691536636
97,ibarreta,-25.2144,-59.8585,289.38,80,85,3.12,AR,1691536636
98,ocean city,39.2776,-74.5746,300.25,62,63,4.47,US,1691536636
99,baikonur,45.6167,63.3167,301.37,38,98,4.53,KZ,1691536636
100,margaret river,-33.95,115.0667,283.94,65,6,2.67,AU,1691536267
101,warrnambool,-38.3833,142.4833,285.0,77,59,6.51,AU,1691536637
102,revda,56.801,59.9303,287.87,96,20,1.86,RU,1691536395
103,whittlesea,-32.1759,26.8244,283.02,81,91,2.15,ZA,1691536637
104,punta arenas,-53.15,-70.9167,274.74,83,85,2.96,CL,1691536331
105,fuling,29.7022,107.3919,299.91,86,3,1.46,CN,1691536638
106,prince george,53.9166,-122.753,292.18,83,75,5.66,CA,1691536557
107,mount gambier,-37.8333,140.7667,281.77,63,0,5.42,AU,1691536293
108,gadzhiyevo,69.2551,33.3362,289.67,81,1,5.15,RU,1691536347
109,basco,20.4487,121.9702,301.09,88,100,10.79,PH,1691536639
110,port elizabeth,-33.918,25.5701,287.09,83,71,2.71,ZA,1691536011
111,yeniseysk,58.4497,92.1703,286.09,96,64,0.13,RU,1691536639
112,al khums,32.6486,14.2619,297.36,65,0,2.94,LY,1691536640
113,antsiranana,-12.2787,49.2917,294.83,79,6,5.29,MG,1691536640
114,bilibino,68.0546,166.4372,277.89,67,100,3.06,RU,1691536292
115,valday,57.9747,33.2525,286.49,83,7,1.16,RU,1691536640
116,la ronge,55.1001,-105.2842,288.49,59,79,3.03,CA,1691536315
117,puerto baquerizo moreno,-0.9,-89.6,296.89,76,100,4.98,EC,1691536333
118,tralee,52.2704,-9.7026,289.02,97,100,1.81,IE,1691536064
119,island harbour,50.724,-1.2758,290.89,94,100,0.89,GB,1691536360
